,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,PROVINCE,DIVISION,DISTRICT,SUB DIVISION,AREA (sq.km),ALL SEXES (RURAL),MALE (RURAL),FEMALE (RURAL),TRANSGENDER (RURAL),SEX RATIO (RURAL),AVG HOUSEHOLD SIZE (RURAL),POPULATION 1998 (RURAL),ANNUAL GROWTH RATE (RURAL),ALL SEXES (URBAN),MALE (URBAN),FEMALE (URBAN),TRANSGENDER (URBAN),SEX RATIO (URBAN),AVG HOUSEHOLD SIZE (URBAN),POPULATION 1998 (URBAN),ANNUAL GROWTH RATE (URBAN)
255,255,255,255,255,SINDH,Shaheed Benazirabad Division,SANGHAR DISTRICT,SHAHDADPUR TALUKA,890.0,265945,136878,129042,25,106.07,5.43,219140,1.02,191083,98129,92916,38,105.61,5.63,90587,4.0
256,256,256,256,256,SINDH,Shaheed Benazirabad Division,SANGHAR DISTRICT,SINJHORO TALUKA,907.0,260082,133888,126157,37,106.13,5.53,163057,2.48,56922,29298,27612,12,106.11,5.59,36417,2.37
257,257,257,257,257,SINDH,Shaheed Benazirabad Division,SANGHAR DISTRICT,TANDO ADAM TALUKA,440.0,204998,105880,99086,32,106.86,5.36,125711,2.6,152025,78244,73762,19,106.08,6.03,104907,1.97
258,258,258,258,258,SINDH,Shaheed Benazirabad Division,SHAHEED BENAZIRABAD DISTRICT,DAUR TALUKA,2210.0,384652,198949,185677,26,107.15,5.52,276514,1.75,93341,48152,45176,13,106.59,5.55,28111,6.51
259,259,259,259,259,SINDH,Shaheed Benazirabad Division,SHAHEED BENAZIRABAD DISTRICT,KAZI AHMED TALUKA,972.0,297638,154613,142995,30,108.12,5.27,208849,1.88,51306,26447,24848,11,106.44,5.35,37948,1.6
260,260,260,260,260,SINDH,Shaheed Benazirabad Division,SHAHEED BENAZIRABAD DISTRICT,NAWABSHAH TALUKA,435.0,134064,69403,64637,24,107.37,5.21,92058,1.99,279338,143911,135385,42,106.3,5.78,189244,2.07
261,261,261,261,261,SINDH,Shaheed Benazirabad Division,SHAHEED BENAZIRABAD DISTRICT,SAKRAND TALUKA,885.0,307342,157749,149563,30,105.47,5.09,242804,1.25,65825,34011,31808,6,106.93,5.16,27056,4.78
262,262,262,262,262,SINDH,Sukkur Division,GHOTKI DISTRICT,DAHARKI TALUKA,2088.0,224423,116233,108173,17,107.45,5.71,143539,2.38,86286,44846,41431,9,108.24,5.86,34615,4.92
263,263,263,263,263,SINDH,Sukkur Division,GHOTKI DISTRICT,GHOTKI TALUKA,763.0,382741,196603,186086,52,105.65,5.54,238468,2.52,124346,64169,60150,27,106.68,5.45,60166,3.89
264,264,264,264,264,SINDH,Sukkur Division,GHOTKI DISTRICT,KHANGARH TALUKA,1986.0,119244,61430,57808,6,106.27,5.45,86173,1.72,30423,15564,14854,5,104.78,5.24,0,0.0
265,265,265,265,265,SINDH,Sukkur Division,GHOTKI DISTRICT,MIRPUR MATHELO TALUKA,593.0,252551,129463,123074,14,105.19,5.25,155999,2.56,75270,39014,36246,10,107.64,5.31,42421,3.06
266,266,266,266,266,SINDH,Sukkur Division,GHOTKI DISTRICT,UBAURO TALUKA,653.0,308928,159987,148921,20,107.43,5.79,186117,2.7,44496,22963,21528,5,106.67,6.1,21299,3.95
